ID;firstname;lastname;email;role;unit_ID
ca05f348-4c53-4ff8-a38a-33c87b6db05b;Leo;van Hengel;leo@syskoplan.onmicrosoft.com;Employee;0d5d047f-e0c9-4dd3-8c5f-7bc92b85e3d1
ef5763c6-92a3-49c3-b942-3bd16376ae59;Kushal;Mokashi;kushal@syskoplan.onmicrosoft.com;Manager;0d5d047f-e0c9-4dd3-8c5f-7bc92b85e3d1
915cc0a7-6779-40a4-8cf7-90bae3966c44;Adele;Vance;AdeleV@syskoplan.onmicrosoft.com;Employee;0d5d047f-e0c9-4dd3-8c5f-7bc92b85e3d1
dc84f963-ef0e-4332-abf6-7d9819929d59;Alex;Wilber;AlexW@syskoplan.onmicrosoft.com;Employee;0d5d047f-e0c9-4dd3-8c5f-7bc92b85e3d1
b547b19f-bc7d-4c2e-91f2-1a5fc17710f8;Diego;Siciliani;DiegoS@syskoplan.onmicrosoft.com;Employee;0d5d047f-e0c9-4dd3-8c5f-7bc92b85e3d1
260158bd-cc66-4c94-9758-486bfe0228aa;Grady;Archie;GradyA@syskoplan.onmicrosoft.com;Employee;0d5d047f-e0c9-4dd3-8c5f-7bc92b85e3d1
17286bcd-4cab-4af6-9268-618eb4cfe582;Henrietta;Mueller;HenriettaM@syskoplan.onmicrosoft.com;Employee;0d5d047f-e0c9-4dd3-8c5f-7bc92b85e3d1
3cc62ff0-caac-4248-b789-f08fcf71935a;Isaiah;Langer;IsaiahL@syskoplan.onmicrosoft.com;Manager;31adf394-9c29-4c21-9386-5885fb2f6694
63898b34-07cf-4feb-badb-83bb8ecdebc7;Johanna;Lorenz;JohannaL@syskoplan.onmicrosoft.com;Employee;31adf394-9c29-4c21-9386-5885fb2f6694
99864679-8a54-4b1f-b162-3dec18ae19a9;Joni;Sherman;JoniS@syskoplan.onmicrosoft.com;Employee;31adf394-9c29-4c21-9386-5885fb2f6694
85f007a6-085b-47b5-b787-795ac8a1453b;Lee;Gu;LeeG@syskoplan.onmicrosoft.com;Employee;31adf394-9c29-4c21-9386-5885fb2f6694
cbe502ff-6b3c-4b63-8ba4-4f787ca65e31;Lidia;Holloway;LidiaH@syskoplan.onmicrosoft.com;Employee;31adf394-9c29-4c21-9386-5885fb2f6694
5826900c-e79b-41d7-bd0b-8913160f58ce;Lynne;Robbins;LynneR@syskoplan.onmicrosoft.com;Employee;31adf394-9c29-4c21-9386-5885fb2f6694
b8354c7f-a968-4f53-be38-b8b12255458a;Megan;Bowen;MeganB@syskoplan.onmicrosoft.com;Manager;b1c8cd10-6d66-4cf7-b3de-7feb07955e48
cab49725-40f0-41d0-806f-ec7d7374b89f;Miriam;Graham;MiriamG@syskoplan.onmicrosoft.com;Employee;b1c8cd10-6d66-4cf7-b3de-7feb07955e48
b4bc7339-9aff-4b0b-a38d-3c0270ca2657;Nestor;Wilke;NestorW@syskoplan.onmicrosoft.com;Employee;b1c8cd10-6d66-4cf7-b3de-7feb07955e48
ad34fe9f-4157-4796-809d-fd728d75a6f3;Patti;Fernandez;PattiF@syskoplan.onmicrosoft.com;Employee;b1c8cd10-6d66-4cf7-b3de-7feb07955e48
f0e0d19f-129a-4365-80ed-7177e17ca624;Pradeep;Gupta;PradeepG@syskoplan.onmicrosoft.com;Employee;b1c8cd10-6d66-4cf7-b3de-7feb07955e48
9a5c196b-ae8f-4cc1-bdf5-57f7e9986acf;Kushal;Mokashi;manager@syskoplan.onmicrosoft.com;Manager;fa83462b-727a-4e0d-b91a-e3778611e60a
d0d72353-0b59-4705-bb1d-7f0b626e3070;Leo;van Hengel;employee@syskoplan.onmicrosoft.com;Employee;fa83462b-727a-4e0d-b91a-e3778611e60a
